from,to,delta_i,delta_tau,Ijk,Il,Iu
175,176,0.4213698,0.3047835,73.66723,73.66723,90.0
171,178,2.077307,0.5087505,59.85985,59.85985,90.0
171,181,5.224167,0.6060142,57.2477,57.2477,90.0
180,182,2.30697,0.4886791,49.50595,49.50595,90.0
172,181,0.5480973,0.3318951,58.34875,58.34875,90.0
178,183,0.836583,0.4232353,62.28908,62.28908,90.0
177,179,2.124251,0.4791218,55.98019,55.98019,90.0
179,184,1.551002,0.4866007,62.71043,62.71043,90.0
177,185,1.293517,0.4198977,68.84281,68.84281,90.0
177,186,1.36779,0.4307066,68.85671,68.85671,90.0
181,187,6.494742,0.634205,69.82653,69.82653,90.0
182,188,5.918312,0.5555238,70.09586,70.09586,90.0
182,189,12.54233,0.664821,56.99039,56.99039,90.0
181,185,4.208564,0.558226,59.09502,59.09502,90.0
185,186,1.34272,0.420344,82.01183,82.01183,90.0
167,183,7.773746,0.5862858,76.13692,76.13692,90.0
183,187,3.884609,0.5958151,48.2582,48.2582,90.0
186,190,0.905086,0.4030018,50.27006,50.27006,90.0
184,188,114.434,0.4452097,89.89765,89.89765,90.0
184,190,2.535439,0.4595858,84.04463,84.04463,90.0
184,191,2.573052,0.516241,72.93524,72.93524,90.0
188,191,1.813439,0.4947122,69.35346,69.35346,90.0
190,192,4.127106,0.5938356,62.24896,62.24896,90.0
167,193,2.724957,0.5277612,68.08024,68.08024,90.0
191,192,1.673503,0.4628319,53.13173,53.13173,90.0
187,194,3.95013,0.5723245,53.25903,53.25903,90.0
189,192,8.818646,0.5697034,77.64039,77.64039,90.0
193,194,3.180357,0.5690025,40.38473,40.38473,90.0
193,195,5.187497,0.6334961,35.07902,35.07902,90.0
194,195,1.831756,0.5359404,35.57379,35.57379,90.0
189,196,0.0,0.5281848,90.21354,90.21354,90.21354
195,196,17.77057,0.7668656,43.07415,43.07415,90.0
6,13,3.362853,0.5269061,44.69022,44.69022,90.0
65,85,1.51967,0.5286947,65.90849,65.90849,90.0
75,92,3.192305,0.556231,59.7127,59.7127,90.0
131,149,2.385106,0.4871026,73.47075,73.47075,90.0
162,164,3.736592,0.5516869,72.77159,72.77159,90.0
176,182,3.018149,0.5205779,62.24095,62.24095,90.0
